Data,Competição,Casa,Gols Casa,Gols Fora,Fora,Tipo
"SEXTA, 17 DE JUL",Copa do Mundo,australia,1,3,brasil,selecao
"SEXTA, 17 DE JUL",Copa do Mundo,australia,1,3,brasil,selecao
"SEXTA, 17 DE JUL",Copa do Mundo,australia,1,3,brasil,selecao
"SEXTA, 17 DE JUL",Copa do Mundo,australia,1,3,brasil,selecao
"SEXTA, 17 DE JUL",Copa do Mundo,australia,1,3,brasil,selecao
"SEXTA, 17 DE JUL",Copa do Mundo,australia,1,3,brasil,selecao
"SEXTA, 17 DE JUL",Copa do Mundo,australia,1,3,brasil,selecao
"SEXTA, 17 DE JUL",Copa do Mundo,australia,1,3,brasil,selecao
"SEXTA, 17 DE JUL",Copa do Mundo,australia,1,3,brasil,selecao
"SEXTA, 17 DE JUL",Copa do Mundo,australia,1,3,brasil,selecao
"SEXTA, 17 DE JUL",Copa do Mundo,australia,1,3,brasil,selecao
"DOMINGO, 18 DE JAN",SS Pernambucano Hoje,,1,0,,selecao
"DOMINGO, 18 DE JAN",Pernambucano,,1,0,,selecao
"DOMINGO, 18 DE JAN",Pernambucano,sport,1,0,santa cruz,clube
